Date,Open,High,Low,Close,Volume,Close_Return,Volatility,MA20,MA50,Momentum,RelVolume,RSI_Close,Williams_%R,CCI,Bollinger_%B,KeltnerC_%,MACD_lib,MACD_signal,MACD_Hist,Force_Index,Volume_Price_Trend,DLR,RSI_Over,RSI_Under,Williams_Over,Williams_Under,MACD_Over,MACD_Under
2023-09-20 00:00:00-04:00,43.57431736743093,43.877140298495235,42.1981295407641,42.21411895751953,367108000,,,,,,1.102693383952402,100.0,,,,0.33650770583845346,,,,,,,True,False,False,False,False,False
2023-09-21 00:00:00-04:00,41.558504470242454,42.075198207915804,40.955859044978006,40.992835998535156,450736000,-0.028930675071375145,,,,,1.3538893325919616,0.0,,,,0.12142773198538609,,,,,-13040096.758971347,-0.02935741784425982,False,True,False,False,False,False
2023-09-22 00:00:00-04:00,41.547515361700206,42.09019865007004,41.206716585272034,41.58549499511719,479236000,0.014457623683397092,,,,,1.4394956431126897,34.32306924174742,,,,0.36753707872589236,,,,,-6111483.015434857,0.014354108769025101,False,False,False,False,False,False
2023-09-25 00:00:00-04:00,41.566499482257406,42.51094250359211,41.15274189436024,42.19712829589844,419091000,0.014707851880879863,,,,,1.2588362906120163,52.45856184360831,,,,0.6094250389618457,,,,,52445.33717496507,0.014600740403324493,False,False,False,False,False,False
2023-09-26 00:00:00-04:00,41.97626153603217,42.794779402172175,41.63046465348833,41.886314392089844,402282000,-0.007365759623002677,,,,,1.208346589785949,45.57191537874182,,,,0.4711667889326723,,,,,-2910667.1754857977,-0.0073930207789890835,False,False,False,False,False,False
2023-09-27 00:00:00-04:00,42.3050663366097,42.84674687562001,41.60447906383656,42.4429817199707,444935000,0.013289957255966822,,,,,1.3364646937382514,56.568871656127676,,,,0.6725929548547387,,,,,3002499.9561978006,0.013202420494339524,False,False,False,False,False,False
2023-09-28 00:00:00-04:00,42.43498662299495,43.42040584820638,42.09019244907844,43.06361770629883,424663000,0.014622817746946737,,,,,1.2755730752513672,65.04793989287559,,,,0.870283423531464,,,,,9212269.609069442,0.014516935299251937,False,False,False,False,False,False
2023-09-29 00:00:00-04:00,43.8011831331208,44.11799774453881,43.28148898443914,43.4733772277832,397830000,0.009515213614401885,,,,,1.1949739829635533,69.30828653232575,,,,0.979398248538075,,,,,12997707.041286945,0.009470229102369861,False,False,False,False,False,False
2023-10-02 00:00:00-04:00,44.004059360800305,45.14838526378596,43.835160204850645,44.755619049072266,433298000,0.029494874864923082,,,,,1.3015102854740508,78.24469339417143,,,,1.3992337015208396,,,,,25777777.33050839,0.02906826919737865,True,False,False,False,False,False
2023-10-03 00:00:00-04:00,44.78160339586175,45.103416123255286,43.22052325615126,43.491363525390625,470850000,-0.02824797311585503,,,,,1.4143063617082396,59.76683411156269,,,,0.805465596292064,,,,,12477219.188908048,-0.028654623443752407,False,False,False,False,False,False
2023-10-04 00:00:00-04:00,43.71624053668988,44.11700536030281,43.26650478309876,44.01506423950195,361821000,0.012041487588807964,,,,0.042662154901177196,1.0868126624182586,63.60138583887167,,,,0.9860280124610875,,,,,16834082.269778132,0.011969565666090061,False,False,False,False,False,False
2023-10-05 00:00:00-04:00,44.02405361077508,44.873555244834996,43.862150279908775,44.661678314208984,393483000,0.014690744768395048,,,,0.08949959733951873,1.1819167678114968,67.6953338296376,,,,1.2016009346649763,,,,,22614640.59348052,0.01458388111061239,False,False,False,False,False,False
2023-10-06 00:00:00-04:00,44.166973996163335,45.76203472717015,44.000072531277134,45.735050201416016,434436000,0.024033397931343403,,,,0.09978371561492905,1.3049285304344926,73.10342702106155,,,,1.5355992703040244,,,,,33055613.857181624,0.02374914125278058,True,False,False,False,False,False
