Date,Open,High,Low,Close,Volume,Close_Return,Volatility,MA20,MA50,Momentum,RelVolume,RSI_Close,Williams_%R,CCI,Bollinger_%B,KeltnerC_%,MACD_lib,MACD_signal,MACD_Hist,Force_Index,Volume_Price_Trend,DLR,RSI_Over,RSI_Under,Williams_Over,Williams_Under,MACD_Over,MACD_Under,Data,time_idx,series_id,hl_center,hl_range,dayofweek,month
2015-09-28 00:00:00-04:00,0.5737619945223569,0.5774072097234827,0.5625832341435092,0.566228449344635,395584000,0.017597224007359413,0.016313821267535132,0.6384531497955322,0.7005018997192383,0.13090151864204236,0.8549642007035417,100.0,-11.570254713994288,119.03434343505673,0.8796398654023728,0.4152999911407119,0.024978256805779364,0.027507060354190437,0.002573012861082736,3645643.975864366,6699896.679665994,0.017444185619810447,1,0,0,0,0,0,2015-09-28 00:00:00-04:00,0,NVDA,0.5699952219334959,0.014823975579973503,0,9
2015-09-29 00:00:00-04:00,0.5723042238696511,0.5771645523065313,0.5642846761548302,0.5761924982070923,380736000,0.017597224007359413,0.016313821267535132,0.6384531497955322,0.7005018997192383,0.13090151864204236,0.822873649892472,100.0,-11.570254713994288,119.03434343505673,0.8796398654023728,0.7002992801924307,0.024978256805779364,0.027507060354190437,0.002573012861082736,3645643.975864366,6699896.679665994,0.017444185619810447,1,0,0,0,0,0,2015-09-29 00:00:00-04:00,1,NVDA,0.5707246142306808,0.012879876151701053,1,9
2015-09-30 00:00:00-04:00,0.5815387742861751,0.5997650333135294,0.5781365562633751,0.5990359783172607,556380000,0.03964557015450443,0.016313821267535132,0.6384531497955322,0.7005018997192383,0.13090151864204236,1.2024879216233126,100.0,-11.570254713994288,119.03434343505673,0.8796398654023728,1.1436807322425286,0.024978256805779364,0.027507060354190437,0.002573012861082736,3645643.975864366,28757899.00222917,0.03887985714010902,1,0,0,0,0,0,2015-09-30 00:00:00-04:00,2,NVDA,0.5889507947884522,0.02162847705015425,2,9
2015-10-01 00:00:00-04:00,0.5990356297714157,0.6007367377930345,0.5703596764020767,0.5873708724975586,489296000,-0.019473130566331487,0.016313821267535132,0.6384531497955322,0.7005018997192383,0.13090151864204236,1.0575012223634934,71.86986396317697,-11.570254713994288,119.03434343505673,0.8796398654023728,0.6864794835975624,0.024978256805779364,0.027507060354190437,0.002573012861082736,3645643.975864366,19229774.10864544,-0.019665229913290557,1,0,0,0,0,0,2015-10-01 00:00:00-04:00,3,NVDA,0.5855482070975556,0.03037706139095775,3,10
2015-10-02 00:00:00-04:00,0.5842118470088489,0.6026811003684998,0.5781364095614773,0.6026811003684998,386144000,0.026065691350748432,0.016313821267535132,0.6384531497955322,0.7005018997192383,0.13090151864204236,0.8345618030973659,79.87258250163063,-11.570254713994288,119.03434343505673,0.8796398654023728,0.9755248235313868,0.024978256805779364,0.027507060354190437,0.002573012861082736,3645643.975864366,29294884.42958884,0.02573177135660838,1,0,0,0,0,0,2015-10-02 00:00:00-04:00,4,NVDA,0.5904087549649886,0.024544690807022485,4,10
2015-10-05 00:00:00-04:00,0.6065693780167382,0.6252816304765677,0.6034101597903124,0.6177481412887573,482024000,0.02500002225230724,0.016313821267535132,0.6384531497955322,0.7005018997192383,0.13090151864204236,1.0417844601397528,84.53529259933421,-11.570254713994288,119.03434343505673,0.8796398654023728,1.200707244847247,0.024978256805779364,0.027507060354190437,0.002573012861082736,3645643.975864366,41345495.155734986,0.024692634299939304,1,0,0,0,0,0,2015-10-05 00:00:00-04:00,5,NVDA,0.6143458951334401,0.02187147068625528,0,10
2015-10-06 00:00:00-04:00,0.6111867268664579,0.6284408702851524,0.6087565633734163,0.625767707824707,453216000,0.012981935516987786,0.016313821267535132,0.6384531497955322,0.7005018997192383,0.13090151864204236,0.9795225671059911,86.34809779833975,-11.570254713994288,119.03434343505673,0.8796398654023728,1.2875012856177277,0.024978256805779364,0.027507060354190437,0.002573012861082736,3645643.975864366,47229116.04300212,0.012898392449090251,1,0,0,0,0,0,2015-10-06 00:00:00-04:00,6,NVDA,0.6185987168292844,0.01968430691173606,1,10
2015-10-07 00:00:00-04:00,0.6272259580478422,0.6386477232303882,0.6170192459142337,0.6323292851448059,310152000,0.01048564385482309,0.016313821267535132,0.6384531497955322,0.7005018997192383,0.13090151864204236,0.670322502367651,87.62617060299668,-11.570254713994288,119.03434343505673,0.8796398654023728,1.331885787405056,0.024978256805779364,0.027507060354190437,0.002573012861082736,3645643.975864366,50481259.455863215,0.010431050788647455,1,0,0,0,0,0,2015-10-07 00:00:00-04:00,7,NVDA,0.627833484572311,0.02162847731615447,2,10
2015-10-08 00:00:00-04:00,0.6296560886552155,0.6376756353473392,0.618963321105932,0.6359745264053345,460068000,0.005764783232669268,0.016313821267535132,0.6384531497955322,0.7005018997192383,0.13090151864204236,0.9943315955379314,88.2824688612305,-11.570254713994288,119.03434343505673,0.8796398654023728,1.3402990779325108,0.024978256805779364,0.027507060354190437,0.002573012861082736,3645643.975864366,53133451.7481509,0.005748230454793177,1,0,0,0,0,0,2015-10-08 00:00:00-04:00,8,NVDA,0.6283194782266356,0.01871231424140718,3,10
2015-10-09 00:00:00-04:00,0.6325720949432864,0.6386475321896519,0.6216363890153577,0.6335442066192627,423248000,-0.0038214105835472356,0.016313821267535132,0.6384531497955322,0.7005018997192383,0.13090151864204236,0.9147535997901144,85.04383542916092,-11.570254713994288,119.03434343505673,0.8796398654023728,1.221690137919135,0.024978256805779364,0.027507060354190437,0.002573012861082736,3645643.975864366,51516047.3614857,-0.0038287308280287075,1,0,0,0,0,0,2015-10-09 00:00:00-04:00,9,NVDA,0.6301419606025047,0.017011143174294197,4,10
